animal_type,breed,sex_upon_intake,sex_upon_outcome,age_upon_intake,age_upon_outcome,intake_type,intake_condition,outcome_type,time_in_shelter_days
Dog,Pit Bull Mix,Intact Male,Intact Male,2 years,2 years,Owner Surrender,Normal,Euthanasia,1.761111111111111
Cat,Domestic Medium Hair Mix,Unknown,Unknown,1 week,1 week,Stray,Nursing,Transfer,0.02986111111111111
Dog,Great Pyrenees Mix,Neutered Male,Neutered Male,1 year,1 year,Stray,Normal,Return to Owner,0.27708333333333335
Dog,Boxer Mix,Spayed Female,Spayed Female,4 years,4 years,Public Assist,Normal,Return to Owner,2.21875
Dog,Pit Bull Mix,Intact Female,Spayed Female,1 month,1 month,Stray,Normal,Adoption,5.177083333333333
Dog,Miniature Pinscher/Chihuahua Shorthair,Intact Female,Spayed Female,1 week,1 month,Stray,Normal,Adoption,48.07083333333334
Cat,Domestic Medium Hair Mix,Intact Female,Intact Female,3 months,4 months,Public Assist,Normal,Transfer,3.4006944444444445
Dog,Chihuahua Shorthair Mix,Intact Male,Neutered Male,4 years,4 years,Stray,Normal,Transfer,4.864583333333333
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,2 months,3 months,Stray,Normal,Transfer,13.998611111111112
Dog,Australian Cattle Dog Mix,Intact Female,Spayed Female,9 months,10 months,Stray,Normal,Return to Owner,3.0993055555555555
Dog,Pointer/Labrador Retriever,Neutered Male,Neutered Male,2 years,2 years,Stray,Normal,Return to Owner,3.0347222222222223
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,0 years,2 months,Stray,Nursing,Adoption,87.06736111111113
Dog,Pit Bull Mix,Intact Male,Intact Male,4 weeks,4 weeks,Stray,Normal,Transfer,2.2555555555555555
Dog,Pit Bull Mix,Intact Male,Neutered Male,9 months,10 months,Stray,Normal,Adoption,4.267361111111111
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,1 year,1 year,Stray,Normal,Transfer,4.188888888888889
Dog,American Bulldog,Neutered Male,Neutered Male,2 years,2 years,Stray,Normal,Return to Owner,1.1423611111111112
Cat,Domestic Shorthair Mix,Unknown,Unknown,3 weeks,3 weeks,Stray,Normal,Transfer,0.02638888888888889
Dog,Pointer Mix,Neutered Male,Neutered Male,3 years,3 years,Owner Surrender,Sick,Transfer,6.774305555555555
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,3 weeks,2 months,Stray,Normal,Adoption,54.00208333333333
Dog,Labrador Retriever/German Shepherd,Neutered Male,Neutered Male,7 months,7 months,Stray,Normal,Return to Owner,0.1486111111111111
Dog,German Shepherd Mix,Spayed Female,Spayed Female,4 months,4 months,Stray,Normal,Return to Owner,3.067361111111111
Dog,Staffordshire/Labrador Retriever,Intact Male,Neutered Male,1 year,1 year,Stray,Normal,Adoption,29.211805555555557
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,2 years,2 years,Stray,Normal,Transfer,56.88333333333333
Dog,Border Terrier Mix,Intact Male,Intact Male,3 weeks,3 weeks,Stray,Normal,Transfer,4.930555555555555
Dog,Pit Bull Mix,Intact Male,Neutered Male,2 years,2 years,Owner Surrender,Normal,Transfer,37.80902777777778
Dog,Chihuahua Shorthair Mix,Intact Male,Neutered Male,4 years,4 years,Stray,Normal,Return to Owner,9.97638888888889
Dog,Pointer Mix,Intact Male,Neutered Male,7 months,8 months,Stray,Normal,Adoption,4.002777777777778
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,3 days,3 months,Stray,Normal,Adoption,101.00347222222224
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,12 years,12 years,Public Assist,Aged,Euthanasia,32.30416666666667
Dog,Labrador Retriever Mix,Intact Male,Neutered Male,2 years,2 years,Stray,Normal,Adoption,6.888194444444444
Cat,Domestic Medium Hair Mix,Intact Female,Spayed Female,1 month,1 month,Stray,Normal,Adoption,15.247916666666669
Cat,Domestic Medium Hair Mix,Intact Female,Spayed Female,2 months,2 months,Stray,Normal,Adoption,4.126388888888889
Cat,Domestic Shorthair Mix,Neutered Male,Neutered Male,4 months,4 months,Stray,Normal,Transfer,0.8493055555555555
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,1 month,3 months,Stray,Normal,Adoption,50.23125
Dog,Labrador Retriever Mix,Intact Male,Neutered Male,1 year,1 year,Owner Surrender,Normal,Adoption,17.91875
Dog,American Eskimo/Alaskan Husky,Spayed Female,Spayed Female,5 years,5 years,Stray,Normal,Return to Owner,0.5458333333333333
Dog,Chow Chow/Irish Setter,Intact Female,Spayed Female,2 years,2 years,Stray,Normal,Return to Owner,2.225
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,3 weeks,3 weeks,Stray,Normal,Transfer,0.06527777777777778
Dog,Pit Bull/Labrador Retriever,Neutered Male,Neutered Male,2 years,2 years,Stray,Normal,Adoption,90.06597222222223
Dog,Boston Terrier Mix,Spayed Female,Spayed Female,18 years,18 years,Stray,Normal,Return to Owner,16.366666666666667
Dog,German Shepherd Mix,Spayed Female,Spayed Female,2 years,2 years,Owner Surrender,Normal,Adoption,2.9597222222222226
Dog,Norwich Terrier Mix,Spayed Female,Spayed Female,2 years,2 years,Stray,Normal,Adoption,4.008333333333334
Dog,Pit Bull Mix,Neutered Male,Neutered Male,4 years,4 years,Stray,Normal,Return to Owner,10.978472222222225
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,1 month,3 months,Stray,Normal,Adoption,65.13541666666667
Cat,Domestic Shorthair Mix,Neutered Male,Neutered Male,8 years,8 years,Public Assist,Normal,Return to Owner,8.759027777777778
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,3 months,3 months,Owner Surrender,Normal,Adoption,8.14861111111111
Dog,Labrador Retriever/Collie Smooth,Intact Male,Neutered Male,1 year,1 year,Stray,Injured,Adoption,60.78819444444444
Dog,Border Collie Mix,Spayed Female,Spayed Female,1 year,1 year,Stray,Normal,Adoption,19.020138888888887
